PERIODO,MAT_CUR,CAMPUS_ALUMNO,BLOQUE,ID_ALUMNO,CALIFICACIONES_ALUMNO,CALIFICACIONES_EXIGIBLES,CALIFICACIONES_CURSO,RANGO_CALIFICACIONES,PORC_CALIFICACIONES_EXIGIBLES,PORC_CALIFICACIONES_REALIZADAS,ULTIMA_ENTREGA_ALUMNO,ULTIMA_CALIFICACION_CURSO,ASISTENCIA,HRS_ACCESO,DIAS_ACCESO,PRIMER_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_PERIODO,ULTIMO_ACCESO_CURSO,INICIO_CURSO,FIN_CURSO,NRC,LC,ID_INST
202100,CCAU-915,CFP TALARA,,1418874,0,0,3,,,0,,,,0.1,1,12/06/2021,12/06/2021,12/09/2021,12/06/2021,12/13/2021,12/19/2021,,FM,
202103,PDCC-203,CFP PIURA,,1383751,0,0,23,,,0,,,1,0.2,1,7/21/2021,7/21/2021,7/21/2021,7/21/2021,7/07/2021,8/06/2021,,AM,
202103,PIAC-204,CFP TALARA,,1239623,0,0,23,,,0,,,0.15,0.1,2,7/26/2021,10/25/2021,11/14/2021,10/25/2021,6/16/2021,7/30/2021,,AG,
202100,CMMU-853,CFP PIURA,,1419517,0,0,8,,,0,,12/08/2021,0,0.2,1,12/01/2021,12/01/2021,12/01/2021,12/01/2021,11/29/2021,12/01/2021,,A3,
202100,CCAU-910,CFP PAITA,,1416312,0,0,2,,,0,,,,0.1,1,11/03/2021,11/03/2021,11/03/2021,11/03/2021,10/25/2021,10/31/2021,,AN,
202100,CCAU-911,CFP PAITA,,1416312,0,0,6,,,0,,,,0.2,1,11/03/2021,11/03/2021,11/03/2021,11/03/2021,11/01/2021,11/07/2021,,AO,
202100,CMPU-533,CFP PIURA,,1418755,0,0,5,,,0,,,1,0.1,3,12/07/2021,12/09/2021,12/09/2021,12/09/2021,12/02/2021,12/06/2021,,A4,
202114,PIAC-305,CFP SULLANA,04PIACM301,1254289,0,0,23,,,0,,,,0.1,1,10/25/2021,10/25/2021,12/09/2021,10/25/2021,2/01/2022,2/26/2022,,AF,
202103,PIAC-204,CFP TALARA,,1237520,0,0,23,,,0,,,0.15,0.1,6,8/20/2021,11/26/2021,11/26/2021,11/26/2021,6/16/2021,7/30/2021,,AG,
202114,PIAC-306,CFP SULLANA,04PIACM301,1092338,0,0,32,,,0,,,,0,1,11/02/2021,11/02/2021,12/09/2021,11/02/2021,3/01/2022,3/26/2022,,AG,
202114,PIAC-304,CFP SULLANA,04PIACM301,1272826,0,0,10,,,0,,,,0.2,1,10/21/2021,10/21/2021,12/09/2021,10/21/2021,1/04/2022,1/29/2022,,AE,
202100,CCAU-913,CFP TALARA,,1418877,0,0,4,,,0,,12/06/2021,1,0.1,1,12/06/2021,12/06/2021,12/06/2021,12/06/2021,11/29/2021,12/05/2021,,FK,
202114,PIAC-306,CFP SULLANA,04PIACM301,1254059,0,0,32,,,0,,,,0,1,11/30/2021,11/30/2021,12/07/2021,11/30/2021,3/01/2022,3/26/2022,,AG,
202103,PIAC-204,CFP TALARA,,1379858,0,0,23,,,0,,,0.16,0,5,10/06/2021,11/10/2021,11/18/2021,11/10/2021,6/16/2021,7/30/2021,,AG,
202114,PIAC-305,CFP SULLANA,04PIACM301,1254292,0,0,23,,,0,,,,0,2,10/30/2021,11/23/2021,12/09/2021,11/23/2021,2/01/2022,2/26/2022,,AF,
202100,CMMU-853,CFP PIURA,,1418751,0,0,8,,,0,,12/08/2021,0,0,4,11/29/2021,12/03/2021,12/03/2021,12/03/2021,11/29/2021,12/01/2021,,A3,
202103,PDCC-203,CFP PIURA,,1383768,0,0,23,,,0,,,1,0,1,8/09/2021,8/09/2021,8/09/2021,8/09/2021,7/07/2021,8/06/2021,,AM,
202103,PIAC-204,CFP TALARA,,627701,0,0,23,,,0,,,0.16,0,1,8/14/2021,8/14/2021,11/16/2021,8/14/2021,6/16/2021,7/30/2021,,AG,
202100,CCAU-913,CFP PAITA,,1144364,0,0,4,,,0,,12/06/2021,0,0,2,12/06/2021,12/09/2021,12/09/2021,12/09/2021,11/29/2021,12/05/2021,,FK,
202100,CMMU-853,CFP PIURA,,1418754,0,0,8,,,0,,12/08/2021,0,0,1,12/03/2021,12/03/2021,12/03/2021,12/03/2021,11/29/2021,12/01/2021,,A3,
202114,PIAC-306,CFP SULLANA,04PIACM301,1254289,0,0,32,,,0,,,,0,3,11/19/2021,12/07/2021,12/09/2021,12/07/2021,3/01/2022,3/26/2022,,AG,
202100,CCAU-916,CFP TALARA,,1391508,0,0,4,,,0,,,,0,1,12/09/2021,12/09/2021,12/09/2021,12/09/2021,12/20/2021,12/26/2021,,FN,
202100,CCAU-915,CFP TALARA,,199399,0,0,3,,,0,,,,0,1,12/03/2021,12/03/2021,12/06/2021,12/03/2021,12/13/2021,12/19/2021,,FM,
202100,CCAU-913,CFP PAITA,,1418747,0,0,4,,,0,,12/06/2021,1,0,1,12/03/2021,12/03/2021,12/09/2021,12/03/2021,11/29/2021,12/05/2021,,FK,
202100,CCAU-913,CFP TALARA,,1418874,0,0,4,,,0,,12/06/2021,1,0,1,12/03/2021,12/03/2021,12/09/2021,12/03/2021,11/29/2021,12/05/2021,,FK,
202100,CCAU-913,CFP PIURA,,1178241,0,0,4,,,0,,12/06/2021,0,0,1,12/03/2021,12/03/2021,12/03/2021,12/03/2021,11/29/2021,12/05/2021,,FK,
202100,CCAU-913,CFP TALARA,,1418881,0,0,4,,,0,,12/06/2021,0,0,1,12/06/2021,12/06/2021,12/06/2021,12/06/2021,11/29/2021,12/05/2021,,FK,
202103,PIAC-204,CFP TALARA,,1146209,0,0,23,,,0,,,0.15,0,1,9/19/2021,9/19/2021,11/13/2021,9/19/2021,6/16/2021,7/30/2021,,AG,
202103,PDCC-204,CFP PIURA,,1383768,0,0,23,,,0,,,,0,1,8/09/2021,8/09/2021,8/09/2021,8/09/2021,8/11/2021,9/03/2021,,AN,
202100,CCAU-911,CFP PIURA,,1350740,0,0,6,,,0,,,,0,2,11/25/2021,11/30/2021,11/30/2021,11/30/2021,11/01/2021,11/07/2021,,AO,
202103,PDCC-203,CFP PIURA,,1390317,0,0,23,,,0,,,1,0,1,9/21/2021,9/21/2021,9/21/2021,9/21/2021,7/07/2021,8/06/2021,,AM,
202100,CCAU-916,CFP PIURA,,1418770,0,0,4,,,0,,,,0,1,12/03/2021,12/03/2021,12/06/2021,12/03/2021,12/20/2021,12/26/2021,,FN,
202100,CCAU-915,CFP PIURA,,1418770,0,0,3,,,0,,,,0,1,12/03/2021,12/03/2021,12/06/2021,12/03/2021,12/13/2021,12/19/2021,,FM,
